FISCAL_YEAR_NAME,BC AREA NAME,REGIONAL DISTRICT NAME,PRODUCT CLASS NAME,SALE VOLUME (LITRES),RETAIL AMT ($)
Fiscal 2009/10,Cariboo,Cariboo Regional District,BEER,"1,359,845.64","5,518,391.47"
Fiscal 2009/10,Cariboo,Cariboo Regional District,REFRESHMENT BEVERAGE,"151,297.18","721,363.23"
Fiscal 2009/10,Cariboo,Cariboo Regional District,SPIRITS,"199,999.31","5,821,987.61"
Fiscal 2009/10,Cariboo,Cariboo Regional District,WINE,"312,508","3,379,244.84"
Fiscal 2009/10,Cariboo,Fraser-Fort George Regional District,BEER,"2,134,945.22","8,627,870.41"
Fiscal 2009/10,Cariboo,Fraser-Fort George Regional District,REFRESHMENT BEVERAGE,"209,890.02","1,036,947.29"
Fiscal 2009/10,Cariboo,Fraser-Fort George Regional District,SPIRITS,"298,870.49","8,808,707.93"
Fiscal 2009/10,Cariboo,Fraser-Fort George Regional District,WINE,"451,857.99","5,483,285.70"
Fiscal 2009/10,Kootenay,Central Kootenay Regional District,BEER,"1,619,073.13","6,726,997.41"
Fiscal 2009/10,Kootenay,Central Kootenay Regional District,REFRESHMENT BEVERAGE,"172,721.30","808,731.80"
Fiscal 2009/10,Kootenay,Central Kootenay Regional District,SPIRITS,"179,621.52","5,335,270.27"
Fiscal 2009/10,Kootenay,Central Kootenay Regional District,WINE,"414,458.55","4,933,427.23"
Fiscal 2009/10,Kootenay,East Kootenay Regional District,BEER,"2,014,325.96","8,190,102.93"
Fiscal 2009/10,Kootenay,East Kootenay Regional District,REFRESHMENT BEVERAGE,"163,003.07","823,031.72"
Fiscal 2009/10,Kootenay,East Kootenay Regional District,SPIRITS,"234,306.59","6,832,920.36"
Fiscal 2009/10,Kootenay,East Kootenay Regional District,WINE,"393,165.70","4,775,823.81"
Fiscal 2009/10,Kootenay,Kootenay Boundary Regional District,BEER,"1,087,652.50","4,391,727.38"
Fiscal 2009/10,Kootenay,Kootenay Boundary Regional District,REFRESHMENT BEVERAGE,"110,327.98","499,251.88"
Fiscal 2009/10,Kootenay,Kootenay Boundary Regional District,SPIRITS,"115,088.81","3,370,664.97"
Fiscal 2009/10,Kootenay,Kootenay Boundary Regional District,WINE,"260,645.31","2,940,878.17"
Fiscal 2009/10,Mainland and Southwest,Fraser Valley Regional District,BEER,"3,735,946.54","15,309,020.59"
Fiscal 2009/10,Mainland and Southwest,Fraser Valley Regional District,REFRESHMENT BEVERAGE,"473,713.65","2,207,353.18"
Fiscal 2009/10,Mainland and Southwest,Fraser Valley Regional District,SPIRITS,"622,134.44","18,191,088.65"
